일자, 영업소명, 방향구분,영업소코드, 기점종점방향구분코드, 당일교통량, 전주교통량, 전전주교통량, 전월평균교통량, 전년동주교통량, 전년평균교통량
20190422,구리남양주,서울방향,6,2,104225,103653,102520,94158,104812,99867
20190422,구리남양주,지방방향,6,3,98479,101747,99469,92827,95758,95734
20190502,구리남양주,서울방향,6,2,106411,102881,105634,103273,108960,99867
20190423,구리남양주,지방방향,6,3,99105,101776,98489,92827,96063,95734
20190424,구리남양주,서울방향,6,2,104620,106669,102341,94158,107073,99867
20190424,구리남양주,지방방향,6,3,98423,102348,98797,92827,101879,95734
20190425,구리남양주,지방방향,6,3,95988,99903,101676,92827,100195,95734
20190426,구리남양주,서울방향,6,2,110190,110182,110346,94158,114133,99867
20190426,구리남양주,지방방향,6,3,104551,107113,109214,92827,107403,95734
20190427,구리남양주,지방방향,6,3,103836,100964,101414,92827,101291,95734
20190428,구리남양주,지방방향,6,3,93843,90938,84911,92827,85948,95734
20190429,구리남양주,서울방향,6,2,105087,104225,103653,94158,92408,99867
20190429,구리남양주,지방방향,6,3,99305,98479,101747,92827,87049,95734
20190430,구리남양주,서울방향,6,2,111046,105992,105511,94158,105770,99867
20190430,구리남양주,지방방향,6,3,103359,99105,101776,92827,100465,95734
20190501,구리남양주,서울방향,6,2,94767,104620,106669,103273,108957,99867
20190501,구리남양주,지방방향,6,3,98290,98423,102348,99857,99393,95734
20190502,구리남양주,지방방향,6,3,101487,95988,99903,99857,101157,95734
20190503,구리남양주,서울방향,6,2,112682,110190,110182,103273,113699,99867
20190503,구리남양주,지방방향,6,3,106692,104551,107113,99857,108533,95734
20190504,구리남양주,서울방향,6,2,109067,105682,103666,103273,107021,99867
20190504,구리남양주,지방방향,6,3,99463,103836,100964,99857,96750,95734
20190505,구리남양주,서울방향,6,2,97992,90425,87664,103273,93210,99867
20190505,구리남양주,지방방향,6,3,97576,93843,90938,99857,92150,95734
20190506,구리남양주,서울방향,6,2,106045,105087,104225,103273,110235,99867
20190506,구리남양주,지방방향,6,3,100818,99305,98479,99857,101505,95734
20190507,구리남양주,서울방향,6,2,107763,111046,105992,103273,96836,99867
20190507,구리남양주,지방방향,6,3,101427,103359,99105,99857,94656,95734
20190517,구리남양주,서울방향,6,2,112046,111984,112682,103273,114023,99867
20190508,구리남양주,서울방향,6,2,108803,94767,104620,103273,101492,99867
20190508,구리남양주,지방방향,6,3,102010,98290,98423,99857,94564,95734
20190509,구리남양주,서울방향,6,2,106266,106411,102881,103273,107874,99867
20190509,구리남양주,지방방향,6,3,100156,101487,95988,99857,95493,95734
20190510,구리남양주,서울방향,6,2,111984,112682,110190,103273,115465,99867
20190510,구리남양주,지방방향,6,3,107533,106692,104551,99857,106141,95734
20190520,구리남양주,서울방향,6,2,102448,102709,106045,103273,105588,99867
20190511,구리남양주,서울방향,6,2,104520,109067,105682,103273,102407,99867
20190511,구리남양주,지방방향,6,3,105548,99463,103836,99857,86442,95734
20190512,구리남양주,서울방향,6,2,89693,97992,90425,103273,93262,99867
20190512,구리남양주,지방방향,6,3,94044,97576,93843,99857,86937,95734
20190513,구리남양주,서울방향,6,2,102709,106045,105087,103273,107041,99867
20190513,구리남양주,지방방향,6,3,97716,100818,99305,99857,101819,95734
20190514,구리남양주,서울방향,6,2,105354,107763,111046,103273,111762,99867
20190514,구리남양주,지방방향,6,3,99383,101427,103359,99857,101395,95734
20190515,구리남양주,서울방향,6,2,106189,108803,94767,103273,106573,99867
20190515,구리남양주,지방방향,6,3,102984,102010,98290,99857,97083,95734
20190516,구리남양주,서울방향,6,2,106904,106266,106411,103273,108515,99867
20190516,구리남양주,지방방향,6,3,99475,100156,101487,99857,98385,95734
20190517,구리남양주,지방방향,6,3,107964,107533,106692,99857,106197,95734
20190518,구리남양주,서울방향,6,2,104814,104520,109067,103273,97322,99867
20190518,구리남양주,지방방향,6,3,104123,105548,99463,99857,89515,95734
20190519,구리남양주,서울방향,6,2,82183,89693,97992,103273,87726,99867
20190519,구리남양주,지방방향,6,3,84281,94044,97576,99857,88713,95734
20190520,구리남양주,지방방향,6,3,100231,97716,100818,99857,98289,95734
20190530,구리남양주,서울방향,6,2,105984,106666,106904,103273,106556,99867
20190521,구리남양주,서울방향,6,2,105479,105354,107763,103273,108646,99867
20190521,구리남양주,지방방향,6,3,102685,99383,101427,99857,101809,95734
20190522,구리남양주,서울방향,6,2,104888,106189,108803,103273,97976,99867
20190522,구리남양주,지방방향,6,3,102176,102984,102010,99857,89754,95734
20190523,구리남양주,서울방향,6,2,106666,106904,106266,103273,94177,99867
20190523,구리남양주,지방방향,6,3,102531,99475,100156,99857,89259,95734
20190524,구리남양주,서울방향,6,2,110506,112046,111984,103273,111934,99867
20190524,구리남양주,지방방향,6,3,105455,107964,107533,99857,102102,95734
20190603,구리남양주,서울방향,6,2,104147,97047,102448,104159,105931,99867
20190525,구리남양주,서울방향,6,2,105813,104814,104520,103273,108743,99867
20190525,구리남양주,지방방향,6,3,106545,104123,105548,99857,103055,95734
20190604,구리남양주,서울방향,6,2,105953,105467,105479,104159,107658,99867
20190526,구리남양주,서울방향,6,2,90646,82183,89693,103273,90530,99867
20190526,구리남양주,지방방향,6,3,95215,84281,94044,99857,91133,95734
20190527,구리남양주,서울방향,6,2,97047,102448,102709,103273,110602,99867
20190527,구리남양주,지방방향,6,3,90825,100231,97716,99857,103744,95734
20190528,구리남양주,서울방향,6,2,105467,105479,105354,103273,91153,99867
20190528,구리남양주,지방방향,6,3,102340,102685,99383,99857,89702,95734
20190607,구리남양주,서울방향,6,2,100385,110954,110506,104159,113545,99867
20190529,구리남양주,서울방향,6,2,106858,104888,106189,103273,104948,99867
20190529,구리남양주,지방방향,6,3,102612,102176,102984,99857,99989,95734
20190608,구리남양주,서울방향,6,2,102511,102793,105813,104159,106186,99867
20190530,구리남양주,지방방향,6,3,99849,102531,99475,99857,100812,95734
20190609,구리남양주,서울방향,6,2,85415,87303,90646,104159,88286,99867
20190531,구리남양주,서울방향,6,2,110954,110506,112046,103273,114384,99867
20190531,구리남양주,지방방향,6,3,109753,105455,107964,99857,106010,95734
20190601,구리남양주,서울방향,6,2,102793,105813,104814,104159,106407,99867
20190601,구리남양주,지방방향,6,3,102248,106545,104123,101006,99015,95734
20190602,구리남양주,서울방향,6,2,87303,90646,82183,104159,88331,99867
20190602,구리남양주,지방방향,6,3,91217,95215,84281,101006,88151,95734
20190603,구리남양주,지방방향,6,3,100599,90825,100231,101006,97087,95734
20190604,구리남양주,지방방향,6,3,101335,102340,102685,101006,98861,95734
20190605,구리남양주,서울방향,6,2,110494,106858,104888,104159,103908,99867
20190605,구리남양주,지방방향,6,3,107071,102612,102176,101006,99686,95734
20190606,구리남양주,서울방향,6,2,93996,105984,106666,104159,107533,99867
20190606,구리남양주,지방방향,6,3,97729,99849,102531,101006,102323,95734
20190607,구리남양주,지방방향,6,3,100729,109753,105455,101006,107060,95734
20190608,구리남양주,지방방향,6,3,102722,102248,106545,101006,101592,95734
20190609,구리남양주,지방방향,6,3,86442,91217,95215,101006,88905,95734
20190619,구리남양주,서울방향,6,2,105178,105521,110494,104159,91158,99867
20190610,구리남양주,서울방향,6,2,102869,104147,97047,104159,105470,99867
20190610,구리남양주,지방방향,6,3,96262,100599,90825,101006,98251,95734
20190620,구리남양주,서울방향,6,2,108671,105834,93996,104159,103920,99867
20190611,구리남양주,서울방향,6,2,106835,105953,105467,104159,110506,99867
20190611,구리남양주,지방방향,6,3,98888,101335,102340,101006,104818,95734
20190612,구리남양주,서울방향,6,2,105521,110494,106858,104159,92685,99867
20190612,구리남양주,지방방향,6,3,100994,107071,102612,101006,93353,95734
20190613,구리남양주,서울방향,6,2,105834,93996,105984,104159,106393,99867
20190613,구리남양주,지방방향,6,3,100715,97729,99849,101006,100509,95734
20190614,구리남양주,서울방향,6,2,112884,100385,110954,104159,113184,99867
20190614,구리남양주,지방방향,6,3,105200,100729,109753,101006,108628,95734
20190624,구리남양주,서울방향,6,2,104648,103546,102869,104159,104065,99867
20190615,구리남양주,서울방향,6,2,103399,102511,102793,104159,105103,99867
20190615,구리남양주,지방방향,6,3,102769,102722,102248,101006,102601,95734
20190625,구리남양주,서울방향,6,2,105386,103787,106835,104159,105207,99867
20190616,구리남양주,서울방향,6,2,86276,85415,87303,104159,84159,99867
20190616,구리남양주,지방방향,6,3,90678,86442,91217,101006,84444,95734
20190617,구리남양주,서울방향,6,2,103546,102869,104147,104159,105235,99867
20190617,구리남양주,지방방향,6,3,99627,96262,100599,101006,99205,95734
20190627,구리남양주,서울방향,6,2,104425,108671,105834,104159,107605,99867
20190618,구리남양주,서울방향,6,2,103787,106835,105953,104159,111225,99867
20190618,구리남양주,지방방향,6,3,96270,98888,101335,101006,104649,95734
20190628,구리남양주,서울방향,6,2,112227,110904,112884,104159,113282,99867
20190619,구리남양주,지방방향,6,3,102648,100994,107071,101006,91130,95734
20190620,구리남양주,지방방향,6,3,104338,100715,97729,101006,94554,95734
20190621,구리남양주,서울방향,6,2,110904,112884,100385,104159,112902,99867
20190621,구리남양주,지방방향,6,3,106180,105200,100729,101006,108700,95734
20190622,구리남양주,서울방향,6,2,106146,103399,102511,104159,104858,99867
20190622,구리남양주,지방방향,6,3,104094,102769,102722,101006,102878,95734
20190623,구리남양주,서울방향,6,2,87324,86276,85415,104159,89081,99867
20190623,구리남양주,지방방향,6,3,93956,90678,86442,101006,90125,95734
20190624,구리남양주,지방방향,6,3,99067,99627,96262,101006,97622,95734
20190625,구리남양주,지방방향,6,3,95069,96270,98888,101006,99452,95734
20190705,구리남양주,서울방향,6,2,110530,112227,110904,101996,110064,99867
20190626,구리남양주,서울방향,6,2,106610,105178,105521,104159,104892,99867
20190626,구리남양주,지방방향,6,3,103412,102648,100994,101006,96161,95734
20190627,구리남양주,지방방향,6,3,102641,104338,100715,101006,99257,95734
20190628,구리남양주,지방방향,6,3,108500,106180,105200,101006,102760,95734
20190708,구리남양주,서울방향,6,2,103367,102688,104648,101996,90008,99867
20190629,구리남양주,서울방향,6,2,99237,106146,103399,104159,106309,99867
20190629,구리남양주,지방방향,6,3,101428,104094,102769,101006,96752,95734
20190630,구리남양주,서울방향,6,2,85176,87324,86276,104159,88125,99867
20190630,구리남양주,지방방향,6,3,93043,93956,90678,101006,89830,95734
20190710,구리남양주,서울방향,6,2,103746,105244,106610,101996,105387,99867
